entrance_area,time,weekday,avg_ppl_in,exit_area,avg_ppl_out,net_flow
G10,21,6,704.17,G10,891.47,-187.30
R02,19,4,703.74,R02,1753.73,-1049.99
BR08,10,2,703.42,BR08,522.85,180.57
R04,12,1,703.40,R04,631.34,72.06
G11,18,0,703.20,G11,1510.51,-807.31
BR07,20,4,702.89,BR07,584.77,118.12
R04,14,2,702.88,R04,725.51,-22.63
R09,18,5,702.76,R09,1427.16,-724.40
R04,14,6,702.69,R04,783.95,-81.26
R14,7,6,701.47,R14,567.27,134.20
O10,11,1,700.72,O10,612.72,88.00
Danshui Dist.,6,1,700.46,Danshui Dist.,1271.02,-570.56
Tucheng Dist.,6,0,700.32,Tucheng Dist.,1382.79,-682.47
R04,21,1,699.89,R04,1162.85,-462.96
BR12,21,2,699.72,BR12,822.14,-122.42
R02,15,6,698.79,R02,636.16,62.63
R06,7,3,698.35,R06,363.48,334.87
O11,22,2,697.96,O11,1103.28,-405.32
O12,16,5,697.91,O12,876.69,-178.78
BR08,21,4,697.54,BR08,864.89,-167.35
R04,14,1,696.88,R04,709.22,-12.34
O12,21,4,695.27,O12,865.78,-170.51
O11,22,1,695.00,O11,1032.79,-337.79
BL17,20,3,694.89,BL17,1625.88,-930.99
BL17,21,5,694.81,BL17,1537.16,-842.35
R03,22,3,694.74,R03,2297.53,-1602.79
G16,22,6,694.60,G16,1044.92,-350.32
R04,22,0,694.09,R04,852.82,-158.73
O10,10,5,694.07,O10,756.85,-62.78
R12,21,0,693.89,R12,1420.89,-727.00
BR12,16,2,693.87,BR12,629.70,64.17
BL17,20,0,693.65,BL17,1531.39,-837.74
G08,11,4,693.58,G08,696.06,-2.48
BR12,13,4,693.38,BR12,691.22,2.16
R02,14,5,693.29,R02,604.86,88.43
Tucheng Dist.,6,2,693.11,Tucheng Dist.,1366.54,-673.43
G08,10,4,692.25,G08,703.13,-10.88
R04,12,0,692.23,R04,601.80,90.43
Danshui Dist.,6,4,692.21,Danshui Dist.,1241.91,-549.70
BR07,7,1,691.82,BR07,894.48,-202.66
O12,15,5,691.82,O12,786.61,-94.79
BR07,22,4,691.30,BR07,500.15,191.15
R06,18,0,690.56,R06,1208.99,-518.43
BL19,11,4,689.05,BL19,854.55,-165.50
BR08,20,4,688.37,BR08,842.76,-154.39
BR08,12,1,688.34,BR08,664.06,24.28
O10,13,0,688.20,O10,702.40,-14.20
BR08,12,2,688.07,BR08,650.89,37.18
G18,22,6,688.06,G18,663.81,24.25
R04,14,3,687.97,R04,720.76,-32.79
BR08,15,5,687.95,BR08,725.98,-38.03
Tucheng Dist.,6,3,687.71,Tucheng Dist.,1412.27,-724.56
Danshui Dist.,6,2,687.58,Danshui Dist.,1215.55,-527.97
Tucheng Dist.,6,1,687.49,Tucheng Dist.,1417.19,-729.70
Luzhou Dist.,7,0,686.75,Luzhou Dist.,3729.82,-3043.07
R06,7,4,686.74,R06,350.19,336.55
BR12,16,0,685.99,BR12,596.64,89.35
G13,14,4,684.59,G13,640.96,43.63
O10,15,3,684.00,O10,678.18,5.82
BR14,9,4,683.59,BR14,584.33,99.26
BR07,21,2,683.32,BR07,472.18,211.14
BR07,21,3,683.22,BR07,475.19,208.03
BR12,21,1,682.84,BR12,790.77,-107.93
O10,11,2,682.60,O10,602.51,80.09
BL13,16,6,682.33,BL13,1114.61,-432.28
Luzhou Dist.,12,6,681.76,Luzhou Dist.,1688.84,-1007.08
R03,22,0,681.58,R03,2121.86,-1440.28
R04,22,3,681.47,R04,1003.03,-321.56
BR07,7,3,681.09,BR07,906.50,-225.41
O10,12,3,680.69,O10,674.30,6.39
G10,22,5,680.62,G10,1580.38,-899.76
O06,22,2,679.71,O06,1350.97,-671.26
BR08,18,6,679.38,BR08,774.15,-94.77
G19,11,2,679.35,G19,766.20,-86.85
BR07,18,6,678.85,BR07,499.76,179.09
R03,21,2,678.75,R03,2153.98,-1475.23
O10,11,3,678.73,O10,602.35,76.38
O10,14,2,678.69,O10,687.74,-9.05
O12,9,4,678.63,O12,953.71,-275.08
O10,14,3,678.57,O10,670.74,7.83
G13,15,4,678.53,G13,693.01,-14.48
BR07,20,1,678.50,BR07,531.42,147.08
R05,21,6,677.55,R05,713.76,-36.21
Luzhou Dist.,14,0,677.33,Luzhou Dist.,913.94,-236.61
BR07,20,0,677.13,BR07,507.79,169.34
BL14,22,3,677.07,BL14,1859.35,-1182.28
BR07,20,2,676.95,BR07,524.41,152.54
BR08,12,3,676.83,BR08,675.43,1.40
G08,10,1,676.39,G08,659.39,17.00
BR12,15,5,676.04,BR12,753.00,-76.96
R09,19,4,675.58,R09,1997.38,-1321.80
G13,19,2,675.52,G13,1191.61,-516.09
O10,11,0,675.51,O10,652.05,23.46
O10,14,1,674.74,O10,678.36,-3.62
Tucheng Dist.,6,4,673.74,Tucheng Dist.,1387.28,-713.54
R09,6,1,673.39,R09,70.30,603.09
Luzhou Dist.,14,2,673.31,Luzhou Dist.,905.73,-232.42
BR08,16,0,673.18,BR08,736.99,-63.81
G19,11,1,672.93,G19,743.29,-70.36
BL11,7,6,672.44,BL11,846.48,-174.04
O09,22,0,672.22,O09,1053.39,-381.17
BR07,20,3,672.22,BR07,535.23,136.99
BR12,20,4,672.21,BR12,944.83,-272.62
R06,9,5,672.19,R06,378.09,294.10
BR12,14,5,672.08,BR12,793.70,-121.62
O10,15,1,672.07,O10,678.03,-5.96
G19,11,3,671.60,G19,746.99,-75.39
Luzhou Dist.,13,2,670.82,Luzhou Dist.,1138.69,-467.87
G13,13,2,670.45,G13,567.77,102.68
O10,12,0,670.10,O10,719.05,-48.95
G13,19,1,669.28,G13,1187.19,-517.91
BR15,16,4,669.11,BR15,641.06,28.05
O08,22,3,668.78,O08,2210.08,-1541.30
BL16,22,3,668.71,BL16,3489.37,-2820.66
G19,8,5,668.54,G19,857.71,-189.17
G13,19,3,668.41,G13,1194.47,-526.06
R02,14,6,666.69,R02,601.51,65.18
Luzhou Dist.,12,4,666.34,Luzhou Dist.,1146.11,-479.77
BR08,13,6,666.31,BR08,730.90,-64.59
O05,23,4,665.64,O05,824.59,-158.95
O10,10,4,665.22,O10,719.09,-53.87
O10,10,1,665.21,O10,687.43,-22.22
O12,22,4,665.10,O12,655.07,10.03
R06,17,6,664.96,R06,1396.91,-731.95
R06,7,2,663.62,R06,350.76,312.86
BR07,21,1,663.42,BR07,444.03,219.39
R06,9,6,663.21,R06,318.63,344.58
O11,22,0,662.79,O11,1040.82,-378.03
R04,14,0,662.78,R04,692.30,-29.52
BL19,11,2,662.59,BL19,800.22,-137.63
O10,15,2,662.27,O10,673.49,-11.22
G16,7,5,661.70,G16,386.93,274.77
R02,10,1,661.34,R02,456.48,204.86
G08,11,2,660.82,G08,645.23,15.59
O11,7,5,660.63,O11,470.73,189.90
R12,8,6,660.29,R12,519.87,140.42
O12,17,6,659.76,O12,952.06,-292.30
Luzhou Dist.,14,1,659.69,Luzhou Dist.,866.93,-207.24
G08,10,3,659.56,G08,652.55,7.01
G07,7,6,659.36,G07,365.73,293.63
Luzhou Dist.,14,3,659.25,Luzhou Dist.,863.54,-204.29
R02,10,4,659.24,R02,459.59,199.65
BL17,20,2,659.00,BL17,1619.00,-960.00
BL16,22,2,658.61,BL16,3358.25,-2699.64
BL19,10,6,656.85,BL19,842.03,-185.18
BR07,7,2,656.23,BR07,867.95,-211.72
Wenshan Dist.,6,0,656.01,Wenshan Dist.,996.96,-340.95
BR08,14,4,655.63,BR08,677.16,-21.53
R04,22,2,655.48,R04,949.69,-294.21
G13,19,0,655.32,G13,1188.46,-533.14
O05,23,5,655.05,O05,587.20,67.85
G08,10,2,654.90,G08,656.04,-1.14
BR12,13,2,654.89,BR12,638.77,16.12
G17,21,4,654.86,G17,2028.25,-1373.39
R05,20,6,654.20,R05,659.98,-5.78
O06,22,1,653.98,O06,1303.89,-649.91
O10,15,0,653.69,O10,660.39,-6.70
R09,6,0,653.67,R09,81.21,572.46
Wenshan Dist.,6,1,652.76,Wenshan Dist.,998.41,-345.65
BR12,21,5,652.59,BR12,548.05,104.54
G13,13,1,652.59,G13,584.85,67.74
G11,10,1,652.42,G11,397.51,254.91
BL17,22,4,652.07,BL17,2036.77,-1384.70
O12,9,1,651.81,O12,954.50,-302.69
R04,22,1,651.57,R04,925.51,-273.94
BR12,20,3,651.52,BR12,954.21,-302.69
O10,14,0,651.17,O10,686.66,-35.49
BR07,7,0,651.09,BR07,835.06,-183.97
Wenshan Dist.,6,3,651.05,Wenshan Dist.,1009.47,-358.42
G17,20,4,650.85,G17,1757.04,-1106.19
O06,22,0,649.85,O06,1200.21,-550.36
BL19,11,1,649.47,BL19,822.75,-173.28
BR08,15,4,649.45,BR08,699.96,-50.51
G13,13,0,649.14,G13,585.97,63.17
Luzhou Dist.,13,1,648.96,Luzhou Dist.,1103.54,-454.58
G11,10,3,648.74,G11,390.43,258.31
O10,10,0,647.76,O10,693.01,-45.25
G11,10,4,647.49,G11,404.71,242.78
R02,19,0,647.28,R02,1749.92,-1102.64
BR08,20,3,647.23,BR08,810.16,-162.93
BR08,21,3,646.96,BR08,858.85,-211.89
BR12,20,2,646.47,BR12,906.68,-260.21
BR14,9,0,646.17,BR14,548.64,97.53
O12,21,3,645.99,O12,600.78,45.21
